"spreadsheet"
"X","Y","Z","Value"
167.48999,164.39014,115.35986,nan
367.48999,164.39014,115.35986,nan
567.48999,164.39014,115.35986,nan
767.48999,164.39014,115.35986,nan
967.48999,164.39014,115.35986,nan
1167.49,164.39014,115.35986,nan
1367.49,164.39014,115.35986,nan
1567.49,164.39014,115.35986,nan
1767.49,164.39014,115.35986,nan
1967.49,164.39014,115.35986,nan
2167.49,164.39014,115.35986,nan
2367.49,164.39014,115.35986,nan
2567.49,164.39014,115.35986,nan
2767.49,164.39014,115.35986,nan
2967.49,164.39014,115.35986,nan
3167.49,164.39014,115.35986,nan
3367.49,164.39014,115.35986,nan
3567.49,164.39014,115.35986,nan
3767.49,164.39014,115.35986,nan
167.48999,364.39014,115.35986,nan
367.48999,364.39014,115.35986,nan
567.48999,364.39014,115.35986,nan
767.48999,364.39014,115.35986,nan
967.48999,364.39014,115.35986,nan
1167.49,364.39014,115.35986,0.82498813
1367.49,364.39014,115.35986,0.96055704
1567.49,364.39014,115.35986,0.97354072
1767.49,364.39014,115.35986,0.98756188
1967.49,364.39014,115.35986,0.98291367
2167.49,364.39014,115.35986,0.98627543
2367.49,364.39014,115.35986,0.98555434
2567.49,364.39014,115.35986,0.98094535
2767.49,364.39014,115.35986,0.99168873
2967.49,364.39014,115.35986,0.99397844
3167.49,364.39014,115.35986,0.98655498
3367.49,364.39014,115.35986,0.96112305
3567.49,364.39014,115.35986,0.95122933
3767.49,364.39014,115.35986,0.95313245
167.48999,564.39014,115.35986,nan
367.48999,564.39014,115.35986,0.92818445
567.48999,564.39014,115.35986,0.9790231
767.48999,564.39014,115.35986,0.983693
967.48999,564.39014,115.35986,0.97773957
1167.49,564.39014,115.35986,0.93263888
1367.49,564.39014,115.35986,0.85237521
1567.49,564.39014,115.35986,0.31871435
1767.49,564.39014,115.35986,0.084528357
1967.49,564.39014,115.35986,0.092958085
2167.49,564.39014,115.35986,0.12514788
2367.49,564.39014,115.35986,0.14373171
2567.49,564.39014,115.35986,0.38602361
2767.49,564.39014,115.35986,0.96285987
2967.49,564.39014,115.35986,0.96922976
3167.49,564.39014,115.35986,0.94018495
3367.49,564.39014,115.35986,0.35605264
3567.49,564.39014,115.35986,0.20430425
3767.49,564.39014,115.35986,0.9487204
167.48999,764.39014,115.35986,0.82185709
367.48999,764.39014,115.35986,0.82935965
567.48999,764.39014,115.35986,0.20007032
767.48999,764.39014,115.35986,0.41302013
967.48999,764.39014,115.35986,0.40237758
1167.49,764.39014,115.35986,0.30407542
1367.49,764.39014,115.35986,0.28612038
1567.49,764.39014,115.35986,0.20931466
1767.49,764.39014,115.35986,0.16581422
1967.49,764.39014,115.35986,0.10702598
2167.49,764.39014,115.35986,0.12209598
2367.49,764.39014,115.35986,0.19573809
2567.49,764.39014,115.35986,0.46054003
2767.49,764.39014,115.35986,0.9802621
2967.49,764.39014,115.35986,0.95776713
3167.49,764.39014,115.35986,0.52879906
3367.49,764.39014,115.35986,0.14094709
3567.49,764.39014,115.35986,0.08644411
3767.49,764.39014,115.35986,0.93212664
167.48999,964.39014,115.35986,0.6989696
367.48999,964.39014,115.35986,0.38882193
567.48999,964.39014,115.35986,0.12411726
767.48999,964.39014,115.35986,0.22395749
967.48999,964.39014,115.35986,0.41138449
1167.49,964.39014,115.35986,0.41336972
1367.49,964.39014,115.35986,0.29879156
1567.49,964.39014,115.35986,0.16056569
1767.49,964.39014,115.35986,0.3573789
1967.49,964.39014,115.35986,0.084563307
2167.49,964.39014,115.35986,0.13257748
2367.49,964.39014,115.35986,0.27445102
2567.49,964.39014,115.35986,0.43033698
2767.49,964.39014,115.35986,0.97878891
2967.49,964.39014,115.35986,0.97506446
3167.49,964.39014,115.35986,0.34957311
3367.49,964.39014,115.35986,0.13956328
3567.49,964.39014,115.35986,0.26171559
3767.49,964.39014,115.35986,0.93867552
167.48999,1164.3901,115.35986,0.46789062
367.48999,1164.3901,115.35986,0.48324335
567.48999,1164.3901,115.35986,0.19371372
767.48999,1164.3901,115.35986,0.16236256
967.48999,1164.3901,115.35986,0.39711481
1167.49,1164.3901,115.35986,0.40243566
1367.49,1164.3901,115.35986,0.28883645
1567.49,1164.3901,115.35986,0.21438126
1767.49,1164.3901,115.35986,0.40344611
1967.49,1164.3901,115.35986,0.095984891
2167.49,1164.3901,115.35986,0.09205202
2367.49,1164.3901,115.35986,0.19404605
2567.49,1164.3901,115.35986,0.15642907
2767.49,1164.3901,115.35986,0.97709942
2967.49,1164.3901,115.35986,0.97339386
3167.49,1164.3901,115.35986,0.1510939
3367.49,1164.3901,115.35986,0.10081022
3567.49,1164.3901,115.35986,0.073263362
3767.49,1164.3901,115.35986,0.95058972
167.48999,1364.3901,115.35986,0.59159547
367.48999,1364.3901,115.35986,0.4464204
567.48999,1364.3901,115.35986,0.13726097
767.48999,1364.3901,115.35986,0.10394347
967.48999,1364.3901,115.35986,0.31675094
1167.49,1364.3901,115.35986,0.41585723
1367.49,1364.3901,115.35986,0.24985543
1567.49,1364.3901,115.35986,0.19007114
1767.49,1364.3901,115.35986,0.28637087
1967.49,1364.3901,115.35986,0.073360339
2167.49,1364.3901,115.35986,0.049647201
2367.49,1364.3901,115.35986,0.19187894
2567.49,1364.3901,115.35986,0.18347068
2767.49,1364.3901,115.35986,0.9743365
2967.49,1364.3901,115.35986,0.97162771
3167.49,1364.3901,115.35986,0.27820548
3367.49,1364.3901,115.35986,0.15715714
3567.49,1364.3901,115.35986,0.30351132
3767.49,1364.3901,115.35986,0.9345243
167.48999,1564.3901,115.35986,0.42369166
367.48999,1564.3901,115.35986,0.38147649
567.48999,1564.3901,115.35986,0.21027674
767.48999,1564.3901,115.35986,0.1077706
967.48999,1564.3901,115.35986,0.1418097
1167.49,1564.3901,115.35986,0.38590372
1367.49,1564.3901,115.35986,0.26212376
1567.49,1564.3901,115.35986,0.29073974
1767.49,1564.3901,115.35986,0.30535987
1967.49,1564.3901,115.35986,0.079952054
2167.49,1564.3901,115.35986,0.15299097
2367.49,1564.3901,115.35986,0.19094211
2567.49,1564.3901,115.35986,0.28221023
2767.49,1564.3901,115.35986,0.97032976
2967.49,1564.3901,115.35986,0.96437633
3167.49,1564.3901,115.35986,0.53794479
3367.49,1564.3901,115.35986,0.21554714
3567.49,1564.3901,115.35986,0.38494587
3767.49,1564.3901,115.35986,0.91672802
167.48999,1764.3901,115.35986,0.70855188
367.48999,1764.3901,115.35986,0.50563687
567.48999,1764.3901,115.35986,0.17527303
767.48999,1764.3901,115.35986,0.15220839
967.48999,1764.3901,115.35986,0.085438073
1167.49,1764.3901,115.35986,0.35374025
1367.49,1764.3901,115.35986,0.23472291
1567.49,1764.3901,115.35986,0.25468031
1767.49,1764.3901,115.35986,0.12977403
1967.49,1764.3901,115.35986,0.16924953
2167.49,1764.3901,115.35986,0.18665275
2367.49,1764.3901,115.35986,0.24381839
2567.49,1764.3901,115.35986,0.13615881
2767.49,1764.3901,115.35986,0.97008032
2967.49,1764.3901,115.35986,0.950993
3167.49,1764.3901,115.35986,0.5821889
3367.49,1764.3901,115.35986,0.43649772
3567.49,1764.3901,115.35986,0.55365324
3767.49,1764.3901,115.35986,0.91891873
167.48999,1964.3901,115.35986,0.73966968
367.48999,1964.3901,115.35986,0.3567467
567.48999,1964.3901,115.35986,0.30782434
767.48999,1964.3901,115.35986,0.33522475
967.48999,1964.3901,115.35986,0.14225151
1167.49,1964.3901,115.35986,0.32333508
1367.49,1964.3901,115.35986,0.11568716
1567.49,1964.3901,115.35986,0.28723806
1767.49,1964.3901,115.35986,0.14490129
1967.49,1964.3901,115.35986,0.32202587
2167.49,1964.3901,115.35986,0.39667347
2367.49,1964.3901,115.35986,0.14036006
2567.49,1964.3901,115.35986,0.12055612
2767.49,1964.3901,115.35986,0.974877
2967.49,1964.3901,115.35986,0.96287453
3167.49,1964.3901,115.35986,0.51226598
3367.49,1964.3901,115.35986,0.56033349
3567.49,1964.3901,115.35986,0.74536735
3767.49,1964.3901,115.35986,0.89969569
167.48999,2164.3901,115.35986,0.72089154
367.48999,2164.3901,115.35986,0.58051777
567.48999,2164.3901,115.35986,0.37299401
767.48999,2164.3901,115.35986,0.21933152
967.48999,2164.3901,115.35986,0.17080034
1167.49,2164.3901,115.35986,0.30308473
1367.49,2164.3901,115.35986,0.16971622
1567.49,2164.3901,115.35986,0.3992278
1767.49,2164.3901,115.35986,0.38061893
1967.49,2164.3901,115.35986,0.39104414
2167.49,2164.3901,115.35986,0.43258598
2367.49,2164.3901,115.35986,0.20468289
2567.49,2164.3901,115.35986,0.2777448
2767.49,2164.3901,115.35986,0.97656971
2967.49,2164.3901,115.35986,0.96681064
